timestamp,strategy,market_id,token_id,side,price,size,usd_value,order_type,mode,order_id,status,reason
1774302438.208,copy_trading,0x0c5d3c6df7bdc3362c59bb3a44033387bef8f448ac0d1fba4bf6e6b26b9a07e2,46653910065813286215388219030453428599638371345052029398868731767395144585438,BUY,0.560000,5.357143,3.0000,GTC,micro,0x5f7f008ebf6e9a8ebe87a786f40afd5f69f75e9b660a05bbfce196a78476a57f,live,Mirror Discovered:0x2a2c53bd… | target_price=0.560 | current_ask=0.560 | drift=0.0000
1774302439.211,copy_trading,0x6c310d728433d9a05226274b29ca4540cb908e4e94bf9795f25c69f9d5a72d70,65360217721893389916259651737002988131183592107605987174203406669348713522055,BUY,0.999000,5.000000,4.9950,GTC,micro,0x191c9a1c125724d334e89a1d7db9e0a8e3536e415963daebc01352fb0ba72225,matched,Mirror Discovered:0xed107a85… | target_price=0.999 | current_ask=0.999 | drift=0.0000
1774302440.190,copy_trading,0x8b445eb20e0269e3477b3d23c72bbd32f9a439709a9fa319f910638af6b63c4d,72426153320162702137096759812808766750896510245014539442906139922953084573694,BUY,0.997000,5.000000,4.9850,GTC,micro,0xf333aadd3c3f2a9b5e1c3db0200d947f2c04eb5c44cdec1ecd08252e245e8c95,matched,Mirror Discovered:0xed107a85… | target_price=0.997 | current_ask=0.997 | drift=0.0000
1774302443.321,copy_trading,0xfab38ce5c47a3ffde21996d5aab9c892bfb62c8a97add1e9d6f0668cb948d053,51002996031660855996422051929989587425268291105358805170888037520336069788100,BUY,0.490000,6.122449,3.0000,GTC,micro,0x763e1e371835558941b91291628e5963cd3812007226445c4258ac4d1d364189,live,Mirror Discovered:0x37c1874a… | target_price=0.490 | current_ask=0.490 | drift=0.0000
1774302444.280,copy_trading,0x1f9f8b1f0ff9efc0774fcf0c4be65521961a7f43492582d6cb4753c1b379a616,28929654221108312768473788456333706904858755990060964108466016387654972049885,BUY,0.480000,6.250000,3.0000,GTC,micro,0x2a039d0beca9110682cb2f9a1a3e4ca177f770f8cec3c9b769f2d92b0dca8c57,live,Mirror Discovered:0x204f72f3… | target_price=0.480 | current_ask=0.480 | drift=0.0000
1774302445.323,copy_trading,0x66c487536f2e22445f1669720302262baa088efad33b92a36d3fee5c0a5e8964,102502851890861126350429337628311144214383722023007274920853294603045461110299,BUY,0.850000,5.000000,4.2500,GTC,micro,0x0dbd4aed304fa1824344c10ae9f76ac7418db256acd8aa3dd1ccce483b96a7a3,live,Mirror Discovered:0x204f72f3… | target_price=0.850 | current_ask=0.850 | drift=0.0000
1774302569.650,copy_trading,0xa75966988c4dee59dbf07c278992eac0db849357af2e67f871bee44a72c13d94,3791641706847295283558425228444644554549652437574824981438858104308826464102,BUY,0.780000,5.000000,3.9000,GTC,micro,0x4b9e79d22c120c027009ecde23781383b65558a7f643abf8201f6682ee7f693b,live,Mirror Discovered:0x204f72f3… | target_price=0.780 | current_ask=0.780 | drift=0.0000
1774302570.569,copy_trading,0xff03c9d5c71128fc162ba4c76b2f8fc783c684105077ba5fe686374dd810548f,26543773164404928016931731220810983237684160213470249223181870977442975637282,BUY,0.360000,8.333333,3.0000,GTC,micro,0x3d33fcd0f6c5cdc140b9c33f69a2c6dabf2f0082f5ab580a5724bfda9085d9cb,live,Mirror Discovered:0x204f72f3… | target_price=0.360 | current_ask=0.360 | drift=0.0000
1774302571.550,copy_trading,0x04a56308d4754e236c44b47fd000a5bef56f48204ccb6331d8bf2113e7e137bb,37097969775237077542021295156229229900659533356066829554449203167236127882510,BUY,0.290000,10.344828,3.0000,GTC,micro,0x551a8495fe84dffeedffc41d4ed11707c4ff6f53c5bfaaf020f77de7ba913df1,live,Mirror Discovered:0x204f72f3… | target_price=0.290 | current_ask=0.290 | drift=0.0000
1774302589.525,copy_trading,0x761a00967d947de3726bc648cf8820b5e4a84d88ec2ba748ee56e5106716db91,52986309821017338374879103177621885193540074515815931864262488594014752858784,BUY,0.330000,9.090909,3.0000,GTC,micro,0x0ae2696716f4cf0fb616542f923f3f570f8e5f6d0ab1d67717d3b3638c074c3d,live,Mirror Discovered:0x2a2c53bd… | target_price=0.330 | current_ask=0.330 | drift=0.0000
1774302590.459,copy_trading,0x3aa84e94ead42fd124316560a6e1659f59c2a307ef760b48f3a750f33b2405d3,9989602385651600331460595780216454668020151636460503890184061260410195242603,BUY,0.910000,5.000000,4.5500,GTC,micro,0xf8084246f833f5ac84978b22a70aff074f6624799bb6411ac92b77b660e58cc9,live,Mirror Discovered:0x204f72f3… | target_price=0.910 | current_ask=0.910 | drift=0.0000
1774302846.535,copy_trading,0x0c5d3c6df7bdc3362c59bb3a44033387bef8f448ac0d1fba4bf6e6b26b9a07e2,46653910065813286215388219030453428599638371345052029398868731767395144585438,BUY,0.560000,5.357143,3.0000,GTC,micro,0x6f2bc8df95b8d60905893d5653d95c77f2dd9cb782c1cb5f8d21dfa2be864e3f,live,Mirror Discovered:0x2a2c53bd… | target_price=0.560 | current_ask=0.560 | drift=0.0000
1774302847.494,copy_trading,0x9982a540c40cd07c5577771bd2352b253852566e1242da497733cd80bc24f883,59637870926471423883139441166660306382858394357904828406426696590112572003698,BUY,0.230000,13.043478,3.0000,GTC,micro,0xa0a78be16504a7128654453bf7f57938516b3852888ac04d4c49e0e15771d66a,live,Mirror Discovered:0x2a2c53bd… | target_price=0.230 | current_ask=0.230 | drift=0.0000
